"length(which_indiv)" "ownership" "headsex" "headrace" "headhisp" "headage"
1 1 1 1 1 68
2 1 2 1 2 51
1 1 2 1 1 48
1 1 2 1 1 30
3 1 1 1 1 39
3 1 1 1 2 58
3 1 1 1 1 77
3 2 2 7 5 56
2 1 1 1 1 56
2 1 1 1 1 76
3 1 1 1 1 48
1 1 1 1 1 77
1 2 1 8 1 29
1 1 2 1 1 67
2 2 1 1 1 49
1 2 2 1 1 28
2 2 1 3 2 58
3 1 1 1 1 47
2 1 1 2 1 57
2 1 2 1 1 42
1 1 1 1 1 62
2 1 2 1 1 53
2 1 1 1 1 87
1 2 2 1 1 52
1 2 1 1 1 62
1 1 2 1 1 39
1 2 1 1 1 32
3 1 1 1 1 66
3 1 1 1 1 47
1 1 2 1 1 78
2 2 1 1 1 41
1 2 2 1 1 49
2 1 1 1 1 37
1 1 1 7 2 52
1 1 2 1 1 64
2 2 1 1 1 55
1 1 2 1 1 59
2 1 1 1 1 54
2 2 2 1 1 42
2 1 2 1 4 39
1 2 1 2 1 44
1 1 1 1 1 56
2 2 1 1 1 47
2 1 2 7 2 60
2 1 1 1 1 29
1 1 2 1 1 54
1 1 2 1 1 65
1 1 1 1 1 53
1 1 2 1 4 49
3 1 1 1 1 37
1 1 1 1 1 67
3 1 2 8 1 35
2 2 2 1 1 21
3 2 1 1 2 36
1 1 1 1 1 77
1 1 1 1 1 84
1 1 1 1 1 75
2 2 2 1 1 28
1 2 2 2 1 51
1 1 2 1 1 25
1 1 2 1 1 70
1 1 1 1 1 82
2 1 2 2 1 75
3 1 1 1 1 47
2 2 1 1 1 48
1 1 2 1 1 77
1 1 2 1 1 58
1 2 1 1 1 41
2 2 2 2 1 43
2 1 2 1 1 44
3 1 2 2 1 44
2 1 1 1 1 66
2 1 2 1 1 65
3 2 2 1 1 25
1 1 1 1 1 70
3 1 1 1 1 29
1 2 2 2 1 45
1 2 1 1 1 29
2 2 1 6 1 31
1 1 1 1 1 93
2 2 2 1 2 35
2 2 2 2 1 34
3 1 1 6 1 27
3 1 1 1 1 51
1 1 1 1 1 76
2 1 1 2 1 84
2 1 2 1 1 41
1 2 2 1 1 37
1 1 1 1 1 59
1 1 2 1 1 25
1 1 2 1 1 53
1 1 1 1 1 69
3 2 1 1 1 36
2 1 2 1 1 46
1 1 1 1 1 68
1 2 2 1 1 55
2 1 1 1 1 62
2 1 1 1 1 65
1 1 1 1 1 72
1 1 1 1 1 43
1 1 1 1 1 80
1 1 1 1 1 54
2 2 1 1 1 28
