"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
1 2 NA 1 1 56 2 NA NA NA NA 58
2 2 2 NA 5 NA 2 1 NA 1 NA 50
3 2 1 1 1 88 NA 1 NA NA NA 84
4 2 1 1 NA 76 NA 1 2 1 1 74
5 2 2 1 NA 51 2 1 1 1 NA 46
5 3 NA NA NA 20 3 1 1 1 NA 46
6 2 1 1 2 NA 2 2 NA NA 3 61
7 2 1 1 NA 40 NA 1 2 NA NA 47
8 2 NA 1 NA NA 2 1 1 1 1 52
9 2 2 NA 1 NA 2 1 1 1 1 57
10 2 2 NA NA 3 NA NA NA NA NA 25
11 2 2 1 1 26 2 1 NA 1 1 34
11 3 NA 1 1 17 3 1 NA 1 1 34
12 2 1 1 1 38 2 2 NA 1 1 38
12 3 1 1 NA 5 3 2 NA 1 1 38
12 4 1 1 1 2 3 2 NA 1 1 38
13 2 2 1 NA NA NA 1 1 NA NA 87
14 2 1 NA 1 NA 2 2 NA NA 1 46
14 3 NA 1 1 65 7 2 NA NA 1 46
15 2 2 1 NA NA 2 1 1 NA 1 34
15 3 NA 1 1 6 NA 1 1 NA 1 34
15 4 2 1 1 NA 3 1 1 NA 1 34
16 2 2 2 1 33 NA 2 1 2 1 34
16 3 2 2 1 3 3 2 1 2 1 34
16 4 NA 2 1 1 NA 2 1 2 1 34
17 2 2 1 1 NA NA 1 1 1 NA 67
18 2 2 1 NA 71 NA NA 1 1 NA 73
19 2 2 NA 1 NA 2 1 1 NA NA 70
20 2 2 2 1 45 3 1 NA 2 NA 79
21 2 2 8 NA 16 NA 2 2 NA NA 35
21 3 1 8 NA 9 3 2 2 NA NA 35
21 4 2 8 1 6 NA 2 2 NA NA 35
22 2 1 1 NA 20 NA NA NA NA NA 52
23 2 NA 1 1 NA 2 1 1 NA NA 66
24 2 2 1 NA 63 2 NA 1 1 1 68
24 3 NA 1 1 40 3 NA 1 1 1 68
25 2 1 NA NA 60 2 NA NA 1 NA 50
25 3 NA 1 NA 17 3 NA NA 1 NA 50
25 4 1 1 1 14 NA NA NA 1 NA 50
26 2 1 NA 1 37 2 2 2 1 1 33
26 3 NA NA NA NA NA 2 2 1 1 33
26 4 2 1 1 4 3 2 2 1 1 33
26 5 NA NA NA 1 NA 2 2 1 1 33
27 2 1 6 1 24 NA NA 1 NA 1 68
28 2 1 1 1 NA 2 1 2 1 NA 59
29 2 1 1 1 58 2 1 2 1 NA 55
29 3 2 1 1 26 NA 1 2 1 NA 55
29 4 1 1 NA 22 NA 1 2 1 NA 55
30 2 2 1 1 16 NA 2 1 1 NA 53
31 2 1 NA 2 24 2 NA 2 7 5 22
31 3 2 1 1 NA NA NA 2 7 5 22
32 2 1 1 1 36 2 NA 2 1 NA 33
33 2 2 1 NA NA NA 1 1 1 1 39
33 3 NA 1 1 11 3 1 1 1 1 39
33 4 1 NA NA 8 3 1 1 1 1 39
34 2 2 NA 1 84 NA 2 NA 1 NA 90
35 2 1 1 1 NA 2 1 NA 1 1 55
36 2 2 1 NA NA NA 2 1 1 NA 40
36 3 NA NA NA 13 3 2 1 1 NA 40
36 4 2 1 2 2 3 2 1 1 NA 40
37 2 NA 2 1 67 12 2 NA 2 1 43
38 2 1 1 1 NA 13 2 1 1 1 68
39 2 NA 1 1 74 NA 1 2 1 1 74
40 2 NA 1 NA NA NA 2 2 1 NA 22
41 2 NA 1 NA 52 12 1 2 1 1 53
42 2 2 1 NA NA 2 1 NA 1 1 48
43 2 NA 1 1 27 2 1 1 1 1 28
44 2 2 4 1 NA 2 1 1 4 NA 53
44 3 1 4 1 10 NA 1 1 4 NA 53
45 2 2 NA 1 NA NA NA 1 1 1 65
46 2 1 1 1 NA 8 1 NA 1 1 89
47 2 1 1 1 17 3 NA NA 1 1 56
48 2 2 8 NA 17 3 NA NA 1 1 39
48 3 1 8 1 9 NA NA NA 1 1 39
49 2 NA 1 1 61 2 1 1 NA 1 58
49 3 1 1 1 NA NA 1 1 NA 1 58
50 2 NA NA 1 32 2 NA 1 1 1 35
50 3 2 1 NA 11 NA NA 1 1 1 35
50 4 2 1 1 NA 3 NA 1 1 1 35
51 2 2 6 1 NA 2 2 1 6 1 38
52 2 1 6 1 28 13 2 NA 6 1 27
52 3 1 NA 1 28 13 2 NA 6 1 27
53 2 NA 1 1 68 13 1 2 1 1 60
54 2 NA 1 1 43 12 NA 1 1 1 37
55 2 1 NA NA NA 2 1 NA 1 1 43
55 3 2 1 1 16 NA 1 NA 1 1 43
55 4 NA 1 1 14 3 1 NA 1 1 43
56 2 1 NA 1 20 3 NA 1 1 1 54
57 2 NA 3 NA 58 12 2 NA 1 1 60
57 3 NA 1 1 NA 12 2 NA 1 1 60
57 4 1 1 1 52 NA 2 NA 1 1 60
57 5 1 1 NA 52 13 2 NA 1 1 60
58 2 2 1 1 NA 2 1 1 1 NA 41
58 3 2 NA 1 8 NA 1 1 1 NA 41
58 4 1 NA 1 17 NA 1 1 1 NA 41
59 2 1 NA 1 NA 12 1 1 NA 1 32
60 2 2 2 1 38 2 2 1 2 NA 39
60 3 2 NA 1 15 3 2 1 2 NA 39
60 4 1 2 1 10 3 2 1 2 NA 39
60 5 1 2 1 NA 3 2 1 2 NA 39
61 2 2 1 1 NA 2 1 1 1 NA 57
62 2 2 1 NA NA 2 1 1 1 NA 59
63 2 2 1 1 37 2 NA NA 1 NA 36
63 3 2 NA 1 NA NA NA NA 1 NA 36
63 4 NA 1 NA 4 NA NA NA 1 NA 36
64 2 1 NA 1 52 NA 2 2 2 1 59
65 2 2 1 1 NA 12 NA 1 NA 1 52
66 2 1 NA 1 29 2 2 2 1 NA 28
66 3 1 1 1 10 NA 2 2 1 NA 28
66 4 1 1 1 8 NA 2 2 1 NA 28
66 5 2 1 1 5 3 2 2 1 NA 28
67 2 2 2 NA NA NA NA 1 NA 1 48
68 2 2 1 1 NA 2 NA 1 NA NA 37
68 3 2 1 NA NA NA NA 1 NA NA 37
68 4 NA 1 NA 6 3 NA 1 NA NA 37
69 2 2 1 NA 10 NA 1 2 1 NA 30
69 3 2 NA 1 7 3 1 2 1 NA 30
69 4 1 1 1 NA NA 1 2 1 NA 30
70 2 2 NA 1 NA 2 1 1 1 1 67
71 2 1 NA 1 NA 2 1 2 1 1 26
71 3 2 NA 1 NA 3 1 2 1 1 26
72 2 2 1 1 35 2 NA 1 1 NA 39
72 3 NA NA 1 9 NA NA 1 1 NA 39
72 4 NA NA NA 7 3 NA 1 1 NA 39
73 2 2 1 1 22 12 2 NA 1 1 23
74 2 2 1 NA NA NA 1 1 NA 1 39
74 3 NA 1 1 18 3 1 1 NA 1 39
74 4 1 1 1 NA NA 1 1 NA 1 39
75 2 NA NA 5 NA NA NA NA 1 NA 76
76 2 1 1 1 47 3 NA 2 1 1 76
77 2 2 7 NA 31 NA NA 1 NA 2 32
77 3 NA 7 2 NA 3 NA 1 NA 2 32
77 4 1 NA 2 8 3 NA 1 NA 2 32
77 5 NA 7 2 14 NA NA 1 NA 2 32
78 2 1 NA 1 70 2 1 2 1 1 67
79 2 NA 2 NA NA 2 1 1 2 1 59
80 2 2 1 1 NA 2 NA 1 NA 1 69
81 2 1 1 1 NA 2 1 2 1 1 25
82 2 2 1 2 NA 2 NA 1 NA 1 36
82 3 2 1 1 15 NA NA 1 NA 1 36
82 4 2 NA NA 9 NA NA 1 NA 1 36
82 5 NA NA 2 7 3 NA 1 NA 1 36
82 6 2 NA 2 NA 4 NA 1 NA 1 36
83 2 1 NA 1 89 2 1 2 1 NA 75
84 2 1 1 NA NA 12 1 1 NA 1 38
85 2 1 NA 1 NA NA 2 NA NA NA 47
86 2 1 NA NA NA 2 2 2 1 1 45
86 3 1 1 1 21 NA 2 2 1 1 45
86 4 1 NA 1 17 3 2 2 1 1 45
87 2 2 NA 1 72 NA NA 1 NA NA 72
88 2 2 1 1 78 NA NA NA NA 1 81
89 2 2 NA 1 58 2 1 NA 1 1 66
89 3 NA NA 1 NA NA 1 NA 1 1 66
89 4 2 6 1 NA 5 1 NA 1 1 66
89 5 1 6 NA 21 NA 1 NA 1 1 66
89 6 NA 6 1 NA 13 1 NA 1 1 66
90 2 NA 1 NA NA 2 1 1 1 1 67
91 2 2 NA NA NA 12 2 1 1 1 24
92 2 NA 1 1 23 3 NA 2 NA 1 49
92 3 1 1 1 20 3 NA 2 NA 1 49
93 2 2 1 1 60 2 NA NA 1 1 64
94 2 2 7 2 NA 2 2 1 NA 2 44
94 3 2 7 NA NA 3 2 1 NA 2 44
94 4 NA 7 NA 18 NA 2 1 NA 2 44
94 5 NA 7 5 16 3 2 1 NA 2 44
95 2 2 1 2 NA 2 NA 1 1 2 40
95 3 2 1 2 27 4 NA 1 1 2 40
95 4 2 NA 2 22 13 NA 1 1 2 40
96 2 NA NA NA NA NA 1 2 NA NA 71
96 3 NA 1 1 47 3 1 2 NA NA 71
97 2 NA 7 2 NA 6 2 2 7 2 31
97 3 2 7 2 1 NA 2 2 7 2 31
97 4 2 NA 2 1 NA 2 2 7 2 31
97 5 2 NA 2 44 11 2 2 7 2 31
98 2 2 NA 1 51 2 1 NA 1 NA 52
99 2 1 1 NA NA NA 2 NA 1 1 39
99 3 2 1 NA 16 3 2 NA 1 1 39
99 4 NA 1 NA 14 NA 2 NA 1 1 39
100 2 1 1 NA NA 3 NA 1 1 1 89
101 2 2 7 5 62 2 NA 1 7 5 71
102 2 2 1 1 52 2 NA 1 NA 1 60
103 2 NA NA NA 64 2 1 NA NA 1 63
104 2 NA NA 1 18 3 2 2 1 1 53
104 3 2 1 NA 16 3 2 2 1 1 53
105 2 2 1 NA NA 2 1 1 1 1 61
105 3 1 1 NA 26 3 1 1 1 1 61
106 2 NA 2 1 74 2 NA NA NA NA 75
106 3 1 2 1 42 NA NA NA NA NA 75
107 2 1 1 NA 20 3 1 2 NA NA 43
108 2 1 7 NA NA 2 1 2 8 NA 37
108 3 2 NA 2 18 3 1 2 8 NA 37
108 4 1 8 NA 15 NA 1 2 8 NA 37
108 5 2 1 2 12 NA 1 2 8 NA 37
108 6 1 NA 2 9 3 1 2 8 NA 37
109 2 2 NA NA NA NA 1 1 NA 1 65
110 2 1 1 NA NA 12 1 NA NA NA 51
111 2 1 1 NA 57 2 1 2 1 1 78
112 2 2 1 1 19 3 1 2 1 NA 43
112 3 2 1 1 17 3 1 2 1 NA 43
113 2 1 NA 5 43 2 NA 2 NA 5 37
113 3 2 1 5 NA 3 NA 2 NA 5 37
113 4 2 1 NA 2 NA NA 2 NA 5 37
114 2 1 1 1 78 2 NA NA 1 1 75
115 2 1 8 1 47 2 1 2 1 NA 48
115 3 2 8 NA 23 NA 1 2 1 NA 48
115 4 1 8 1 21 NA 1 2 1 NA 48
116 2 NA NA NA 18 3 2 2 1 1 50
116 3 NA NA 1 16 NA 2 2 1 1 50
116 4 1 1 NA 51 12 2 2 1 1 50
116 5 1 1 NA NA 13 2 2 1 1 50
117 2 1 1 NA NA 2 1 2 NA 1 63
118 2 NA NA 1 NA 2 1 1 NA NA 43
118 3 1 NA NA 8 3 1 1 NA NA 43
118 4 NA 1 1 23 NA 1 1 NA NA 43
118 5 2 NA NA 17 5 1 1 NA NA 43
118 6 1 1 NA 3 8 1 1 NA NA 43
118 7 1 NA 1 1 8 1 1 NA NA 43
119 2 2 1 1 NA 5 1 1 1 1 60
120 2 NA 1 NA 30 2 1 NA 1 NA 33
120 3 2 1 1 5 3 1 NA 1 NA 33
120 4 1 NA 1 3 NA 1 NA 1 NA 33
120 5 2 1 1 1 3 1 NA 1 NA 33
121 2 2 1 1 21 NA 2 2 1 1 41
121 3 1 7 NA 15 NA 2 2 1 1 41
121 4 1 NA 2 12 NA 2 2 1 1 41
121 5 NA NA 1 2 3 2 2 1 1 41
121 6 1 1 NA 53 12 2 2 1 1 41
122 2 NA NA 1 44 6 2 1 NA NA 52
123 2 1 NA NA NA 2 NA 2 NA NA 76
124 2 1 NA 1 56 3 1 2 NA NA 82
124 3 2 1 NA 55 10 1 2 NA NA 82
125 2 NA NA 1 44 2 NA NA 2 NA 55
125 3 1 2 1 19 3 NA NA 2 NA 55
125 4 1 2 1 17 3 NA NA 2 NA 55
125 5 NA 2 1 16 3 NA NA 2 NA 55
126 2 1 NA 5 3 NA 2 2 7 5 24
126 3 2 7 5 2 3 2 2 7 5 24
126 4 1 7 5 1 NA 2 2 7 5 24
127 2 1 NA 1 NA 2 NA NA 1 NA 59
128 2 2 6 NA NA 2 1 NA NA 1 45
129 2 1 NA 1 49 NA 1 NA 1 1 48
130 2 1 1 1 NA NA NA NA NA 1 31
130 3 NA 1 1 NA 3 NA NA NA 1 31
130 4 NA 1 1 3 3 NA NA NA 1 31
131 2 2 NA 1 NA NA 1 NA NA 1 49
131 3 1 1 NA 14 3 1 NA NA 1 49
131 4 1 1 NA 9 NA 1 NA NA 1 49
132 2 NA 1 NA 48 2 1 1 1 1 58
132 3 NA 1 NA 15 NA 1 1 1 1 58
132 4 2 1 1 NA NA 1 1 1 1 58
132 5 2 1 NA 12 NA 1 1 1 1 58
133 2 NA 1 NA 5 3 NA 1 1 NA 34
133 3 1 NA 1 2 3 NA 1 1 NA 34
133 4 NA NA NA NA 12 NA 1 1 NA 34
134 2 NA 1 1 27 2 2 1 NA 1 32
134 3 2 NA 1 14 NA 2 1 NA 1 32
134 4 2 1 1 2 NA 2 1 NA 1 32
134 5 NA 1 1 NA NA 2 1 NA 1 32
135 2 1 1 1 NA NA 1 NA 1 1 39
135 3 1 NA NA 11 3 1 NA 1 1 39
135 4 NA 1 1 5 3 1 NA 1 1 39
136 2 2 1 2 NA NA 2 1 1 NA 29
136 3 2 1 2 4 NA 2 1 1 NA 29
136 4 NA 1 NA 1 NA 2 1 1 NA 29
137 2 NA 1 1 NA 2 1 2 1 1 62
138 2 NA 2 NA 42 3 1 NA NA 1 65
138 3 2 2 1 NA 7 1 NA NA 1 65
138 4 1 2 1 18 8 1 NA NA 1 65
139 2 2 1 1 56 2 1 1 1 1 61
140 2 2 NA 1 NA 2 NA 1 1 NA 58
140 3 NA 1 1 4 NA NA 1 1 NA 58
140 4 1 1 1 2 8 NA 1 1 NA 58
141 2 NA 1 1 NA 2 1 1 1 1 59
142 2 2 NA NA NA NA NA NA 1 NA 46
142 3 1 1 1 17 NA NA NA 1 NA 46
142 4 1 1 NA 12 NA NA NA 1 NA 46
143 2 2 NA 1 62 2 NA NA 1 1 68
144 2 2 NA 1 NA 2 NA 1 1 NA 52
144 3 1 NA 1 27 3 NA 1 1 NA 52
144 4 1 NA NA NA 3 NA 1 1 NA 52
145 2 2 1 NA NA 2 1 1 NA NA 66
145 3 NA NA 1 94 NA 1 1 NA NA 66
146 2 2 1 NA NA 2 NA 1 1 1 65
147 2 1 1 1 13 NA 1 2 1 1 41
147 3 NA NA 1 12 13 1 2 1 1 41
148 2 NA 1 1 NA 2 NA 1 1 5 49
148 3 NA 1 5 13 3 NA 1 1 5 49
149 2 2 1 1 85 2 1 1 1 NA 95
150 2 1 1 1 55 2 1 2 3 1 52
150 3 NA 1 1 16 3 1 2 3 1 52
150 4 NA NA 1 14 NA 1 2 3 1 52
151 2 NA 6 1 NA NA 1 1 6 1 44
151 3 NA NA 1 13 3 1 1 6 1 44
151 4 NA NA 1 11 NA 1 1 6 1 44
151 5 NA 6 1 8 3 1 1 6 1 44
151 6 NA NA NA 69 9 1 1 6 1 44
152 2 NA 2 1 49 8 NA NA 2 NA 94
153 2 2 1 2 13 3 2 NA NA NA 47
154 2 2 1 1 65 2 NA NA 1 NA 66
154 3 1 NA 1 11 8 NA NA 1 NA 66
155 2 2 1 1 NA 2 1 1 1 1 39
155 3 1 NA 1 19 3 1 1 1 1 39
155 4 1 NA 1 16 NA 1 1 1 1 39
155 5 NA 1 1 16 3 1 1 1 1 39
156 2 2 1 2 65 6 1 2 1 2 67
157 2 1 1 NA 53 2 NA 2 NA NA 55
158 2 1 1 2 NA 2 1 NA 1 1 43
158 3 2 1 NA 21 3 1 NA 1 1 43
159 2 NA NA 1 47 2 NA 1 1 1 49
159 3 NA 1 1 18 3 NA 1 1 1 49
160 2 1 8 NA 27 NA 2 2 NA 1 56
160 3 1 NA 1 48 12 2 2 NA 1 56
161 2 1 1 NA 42 2 1 NA NA 1 41
161 3 2 NA 1 NA NA 1 NA NA 1 41
161 4 2 NA 1 14 3 1 NA NA 1 41
161 5 2 1 1 11 3 1 NA NA 1 41
161 6 2 NA NA 5 3 1 NA NA 1 41
162 2 2 1 1 57 3 NA 1 1 1 86
162 3 NA 1 1 41 12 NA 1 1 1 86
163 2 1 1 NA 19 3 NA 1 1 1 64
164 2 NA 1 1 NA 2 NA 1 1 1 75
165 2 1 NA NA NA 2 2 2 1 1 33
165 3 NA 1 1 10 NA 2 2 1 1 33
165 4 2 NA NA 1 3 2 2 1 1 33
166 2 2 1 1 NA 2 1 NA NA 1 78
166 3 2 NA 1 10 NA 1 NA NA 1 78
166 4 2 1 1 7 NA 1 NA NA 1 78
