"Gender" "Race" "Hisp" "Age" "Relate"
"1" "1" "1" "86" "2"
"1" "1" "1" "55" "2"
"1" "1" "1" "29" "2"
"1" "1" "1" "84" "12"
"1" "1" "1" "4" "3"
"2" "1" "1" "9" "3"
"2" "1" "1" "61" "2"
"2" "7" "5" "37" "2"
"1" "3" "1" "26" "10"
"1" "1" "2" "31" "11"
"2" "2" "1" "47" "2"
"1" "2" "1" "25" "3"
"2" "2" "1" "64" "6"
"1" "1" "1" "60" "2"
"2" "1" "1" "17" "3"
"2" "1" "1" "85" "6"
"2" "1" "1" "34" "2"
"1" "1" "4" "30" "2"
"2" "1" "4" "1" "3"
"2" "1" "1" "81" "2"
"1" "1" "1" "14" "3"
"2" "1" "1" "68" "2"
"1" "2" "1" "18" "9"
"1" "2" "1" "19" "3"
"2" "4" "1" "71" "2"
"1" "1" "1" "52" "2"
"2" "1" "1" "78" "2"
"1" "1" "1" "18" "3"
"2" "1" "5" "18" "3"
"2" "1" "5" "43" "11"
"2" "1" "1" "78" "2"
"2" "1" "1" "85" "7"
"1" "2" "1" "21" "9"
"1" "1" "1" "43" "2"
"1" "1" "1" "2" "3"
"2" "1" "1" "61" "2"
"2" "1" "1" "42" "10"
"2" "6" "1" "50" "2"
"1" "8" "1" "9" "3"
"2" "2" "1" "33" "2"
"2" "2" "1" "11" "3"
"1" "2" "1" "65" "2"
"1" "1" "1" "54" "2"
"1" "1" "1" "3" "9"
"2" "1" "1" "79" "2"
"2" "1" "3" "58" "10"
"1" "3" "3" "10" "3"
"2" "4" "1" "27" "11"
"1" "1" "1" "24" "3"
"2" "1" "1" "60" "2"
"2" "1" "1" "62" "11"
"2" "1" "1" "58" "4"
"1" "1" "1" "52" "2"
"1" "1" "1" "22" "3"
"2" "1" "1" "18" "3"
"1" "1" "2" "2" "3"
"2" "1" "1" "10" "3"
"2" "1" "1" "65" "2"
"2" "1" "1" "40" "2"
"2" "1" "1" "17" "3"
"1" "1" "1" "12" "3"
"2" "1" "1" "32" "2"
"1" "1" "1" "5" "3"
"1" "1" "1" "2" "3"
"2" "1" "1" "48" "2"
"2" "1" "1" "16" "3"
"2" "1" "1" "35" "11"
"1" "6" "1" "31" "7"
"2" "2" "1" "48" "2"
"1" "2" "1" "20" "3"
"1" "2" "1" "1" "3"
"2" "1" "1" "25" "2"
"1" "1" "1" "55" "2"
"1" "1" "1" "13" "9"
"2" "1" "1" "32" "2"
"1" "8" "1" "4" "3"
"1" "8" "1" "2" "3"
"2" "1" "1" "33" "2"
"1" "1" "1" "3" "3"
"2" "6" "1" "32" "2"
"1" "6" "1" "5" "3"
"2" "1" "1" "62" "2"
"2" "1" "1" "22" "3"
"1" "1" "1" "22" "3"
"2" "1" "1" "17" "3"
"2" "2" "1" "48" "2"
"1" "2" "1" "23" "3"
"1" "2" "1" "4" "9"
"2" "6" "1" "33" "2"
"2" "4" "1" "4" "3"
"1" "4" "1" "2" "3"
"2" "1" "1" "24" "2"
"1" "1" "1" "16" "3"
"2" "1" "1" "15" "3"
"2" "1" "1" "55" "2"
"2" "1" "1" "56" "2"
"2" "1" "1" "29" "3"
"2" "1" "3" "67" "2"
"2" "1" "1" "56" "2"
"2" "2" "1" "62" "2"
"2" "1" "1" "46" "2"
"2" "1" "1" "10" "10"
"2" "1" "1" "13" "12"
"2" "1" "1" "65" "2"
"2" "1" "1" "11" "3"
"2" "1" "1" "20" "3"
"2" "1" "1" "75" "2"
"1" "2" "1" "35" "3"
