"Gender" "Race" "Hisp" "Age" "Relate"
2 1 1 NA NA
NA 1 1 NA 2
1 1 2 26 NA
1 1 1 51 2
1 NA 1 NA NA
NA 1 1 17 NA
NA 1 1 16 NA
2 1 1 NA 12
2 1 NA 56 2
NA NA 2 NA 3
1 1 NA 20 NA
2 1 1 58 2
NA 1 1 33 3
1 1 1 30 3
2 8 NA 22 3
NA NA NA 17 3
2 7 5 NA NA
NA 1 NA 54 2
2 NA 1 22 3
2 1 1 77 NA
1 1 1 46 NA
2 1 1 NA NA
1 1 1 NA 3
1 1 NA NA NA
2 1 1 64 2
2 1 NA NA 2
1 1 1 55 2
NA NA NA 42 2
1 1 1 7 3
NA NA 4 NA NA
1 2 2 16 NA
2 2 1 NA 12
2 NA 1 NA 2
1 1 1 NA 3
1 1 1 22 3
2 2 1 NA 2
1 2 NA 22 NA
1 1 1 NA 3
2 1 1 64 7
2 1 1 59 2
1 1 1 63 2
1 NA 1 21 NA
1 NA 1 NA 3
1 1 1 37 8
NA 1 2 56 2
2 6 NA 70 2
1 NA 1 NA 2
NA NA NA 39 NA
2 1 NA 60 2
1 1 1 37 3
1 8 NA NA 8
NA 1 1 NA 2
1 1 NA 20 3
NA 1 1 17 3
1 1 NA 42 3
NA NA NA NA 3
1 NA 1 5 3
2 NA 1 NA 3
2 1 1 28 NA
NA 1 1 1 3
2 NA 2 NA NA
1 NA NA 63 2
2 1 1 NA 7
2 NA NA 57 11
1 NA 5 NA 12
2 1 1 52 2
NA 1 NA 24 3
NA 1 1 NA 3
NA 1 NA 5 NA
NA 1 3 41 2
1 1 NA 15 3
NA 1 1 NA 12
NA NA 1 NA 2
2 1 1 50 2
1 NA 1 17 3
2 7 2 NA 3
NA 7 NA 51 12
2 1 1 28 2
1 NA 1 3 NA
1 1 1 NA NA
1 1 1 40 3
2 1 NA 22 3
2 8 4 17 NA
2 NA 1 34 2
1 1 NA 6 3
2 1 1 3 3
2 1 1 66 NA
1 9 1 47 NA
2 9 1 8 3
1 9 NA NA 3
2 1 NA 23 12
1 1 1 23 12
2 NA 2 16 NA
2 NA 2 13 NA
NA 1 NA 7 3
2 1 NA NA 2
2 1 1 NA 2
NA NA 1 72 NA
NA 6 NA 26 2
NA 8 1 NA NA
NA 2 1 15 NA
2 NA 1 22 12
1 1 1 NA 2
2 1 1 NA 2
2 NA 1 52 3
1 NA NA 26 NA
2 NA NA 44 2
1 1 1 17 NA
2 1 1 15 3
2 1 1 NA 2
1 1 1 NA 3
2 1 1 75 NA
NA 1 1 60 2
2 NA 1 NA 2
1 2 NA 41 2
2 2 1 16 3
1 1 1 NA 2
1 1 NA 2 3
1 2 1 19 3
NA NA 1 14 3
1 NA 1 NA 12
2 NA 1 62 2
2 1 1 32 3
NA 1 NA NA 3
1 1 NA 67 12
NA NA 1 33 2
1 1 1 10 NA
1 1 1 NA 5
2 1 NA 66 2
2 1 1 29 NA
1 1 1 4 3
2 1 1 2 NA
2 NA NA 16 NA
1 1 1 29 NA
NA 6 1 NA NA
NA NA 1 3 3
2 1 NA 87 2
2 1 5 11 3
NA NA NA NA 3
1 NA NA 5 NA
NA 2 1 NA NA
1 6 1 NA NA
2 6 1 NA 7
2 6 NA 27 12
2 1 NA NA NA
2 1 NA NA 3
1 1 1 14 3
NA 1 NA 74 NA
2 2 1 NA NA
NA 2 1 NA 11
NA 8 NA NA 3
2 8 1 8 3
1 1 1 40 2
2 1 1 57 2
1 1 NA 26 NA
1 NA 1 59 2
2 1 1 NA 2
2 1 1 NA 2
2 8 1 18 NA
1 1 NA 7 NA
1 NA 1 48 NA
NA 1 1 18 3
2 NA 1 NA 2
1 1 1 56 2
2 NA NA NA 2
2 NA 1 18 NA
2 1 1 63 2
1 1 NA 25 3
2 1 1 NA 2
1 NA 5 32 12
NA 1 NA 85 NA
NA NA NA NA 2
2 1 1 28 2
1 1 1 2 3
2 1 1 63 2
2 1 1 6 8
2 NA NA NA 2
1 1 1 7 3
1 NA 2 17 3
2 1 2 12 NA
2 1 1 52 12
2 1 1 NA NA
NA NA NA NA 3
1 1 1 49 NA
1 2 NA 69 2
1 1 1 51 2
2 1 NA 34 3
1 1 1 29 NA
NA 1 NA NA 3
NA 1 1 12 NA
1 1 NA 56 12
2 8 NA 16 3
