"Pop. Q" "Orig. Data Q" "Model Q" "Weighted Sampler Q" "Hybrid Sampler Q" "Weighted Hybrid Sampler Q" "NZ Sampler Q" "Orig. Data L" "Orig. Data U" "Model L" "Model U" "Weighted Sampler L" "Weighted Sampler U" "Hybrid Sampler L" "Hybrid Sampler U" "Weighted Hybrid Sampler L" "Weighted Hybrid Sampler U" "NZ Sampler L" "NZ Sampler U" "Model M.Frac" "Weighted Sampler M.Frac" "Hybrid Sampler M.Frac" "Weighted Hybrid Sampler M.Frac" "NZ Sampler M.Frac" "Model RE" "Weighted Sampler RE" "Hybrid Sampler RE" "Weighted Hybrid Sampler RE" "NZ Sampler RE"
"Same race household, $n_i = 2$" 0.941926116737896 0.940756602426838 0.900421127765882 0.897651677373305 0.915838686652391 0.910478229835832 0.894996431120628 0.932015370534938 0.949497834318738 0.886488357629976 0.914353897901787 0.88243247004557 0.912870884701039 0.901079512754838 0.930597860549944 0.894025500514436 0.926930959157227 0.880644031785878 0.909348830455378 0.366146623327277 0.455361243370576 0.513915576061983 0.586085417254553 0.37389560166212 0.992730303033393 0.990974968127289 0.989826257374799 0.98841409821653 0.992577592080256
"Same race household, $n_i = 3$" 0.907756356524169 0.921810699588477 0.833201646090535 0.831786008230453 0.89124279835391 0.872460905349794 0.845909465020576 0.90671495677627 0.936906442400685 0.807559472625473 0.858843819555597 0.807599272767172 0.855972743693734 0.865320664700872 0.917164932006947 0.844110433723816 0.900811376975772 0.818739370968996 0.873079559072157 0.331351678840041 0.243600947221221 0.543129944160204 0.561465101300872 0.441120633574904 0.993416594870045 0.995151602539851 0.989254129200937 0.988895394938102 0.991254741606964
"Same race household, $n_i = 4$" 0.901040239021983 0.898270600203459 0.801322482197355 0.800712105798576 0.859064089521872 0.83763987792472 0.795666327568667 0.87937336945856 0.917167830948357 0.769800080365575 0.832844884029135 0.768687232804834 0.832736978792317 0.818489958555475 0.899638220488268 0.790317859103628 0.884961896745813 0.762569364392862 0.828763290744473 0.373473227696084 0.391529959045115 0.711881122859746 0.76205020365725 0.419491903780573 0.992585914693475 0.992230242674447 0.985962241843581 0.984987796974316 0.991679965665241
"Spouse present" 0.696089788177464 0.6946 0.706476 0.710224 0.683972 0.685168 0.654688 0.681833701503887 0.707366298496113 0.692828187669053 0.720123812330947 0.696558657315612 0.723889342684388 0.653732120339825 0.714211879660175 0.649463999571184 0.720872000428816 0.640487396587994 0.668888603412006 0.144530275083 0.153133521688864 0.817337944309229 0.869153862570916 0.13857681483713 0.997117726015377 0.996946680876427 0.983916159771987 0.982913931202413 0.997236123886226
"Black HH, own" 0.0516183603470128 0.052 0.049672 0.049712 0.051168 0.050916 0.05182 0.0458458379282808 0.0581541620717192 0.0427569725871694 0.0565870274128306 0.0426493620801786 0.0567746379198214 0.0440580911434933 0.0582779088565067 0.0438451767843609 0.0579868232156391 0.0449535135314384 0.0586864864685616 0.241222780745033 0.271961137039293 0.261734532102327 0.257043597962926 0.199111417780763 0.995198708005222 0.994590202353596 0.99479256865011 0.994885421434273 0.996033566886799
"Spouse present, HH is White" 0.599775502957163 0.6022 0.610572 0.61336 0.591432 0.59248 0.57576 0.588633561392725 0.615766438607275 0.595662226920121 0.625481773079879 0.598417500235217 0.628302499764783 0.560573924111157 0.622290075888843 0.556115255106833 0.628844744893167 0.560906754467133 0.590613245532867 0.178045077435833 0.183777131020787 0.80393619304557 0.858833328348877 0.149244637613365 0.996451733479033 0.99633791751982 0.984175710519934 0.983113389117596 0.997023990317465
"Spouse present, HH is Black" 0.0394226382924393 0.037 0.039388 0.039924 0.039156 0.038712 0.032052 0.0317678872481539 0.0422321127518461 0.0333480032515486 0.0454279967484514 0.0339600193444497 0.0458879806555503 0.0327175008621289 0.0455944991378711 0.0326068122829442 0.0448171877170558 0.026724157975769 0.037379842024231 0.202929352956551 0.171893984622009 0.302225423636362 0.232631615112053 0.160133868257143 0.995957818486451 0.996573898831192 0.993991808094153 0.995368914436048 0.996807547031718
"White couple" 0.579721054444523 0.5828 0.583192 0.585028 0.57174 0.570696 0.547036 0.569132313450095 0.596467686549905 0.567878159587656 0.598505840412344 0.569828772624779 0.600227227375221 0.543452714458213 0.600027285541787 0.538046691505055 0.603345308494945 0.531745189669786 0.562326810330214 0.203403638417293 0.192399654094152 0.763707497649615 0.822378509168436 0.18556977498894 0.995948409397055 0.996166757209855 0.984955639859737 0.983818574940957 0.996302328023355
"Non-White couple, own" 0.058092599710335 0.0564 0.04766 0.047932 0.045872 0.044092 0.037092 0.0500056470126076 0.0627943529873924 0.0407887626179647 0.0545312373820353 0.0409108729036841 0.0549531270963159 0.038857680443022 0.052886319556978 0.0376182333099389 0.0505657666900611 0.0308966161107791 0.0432873838892209 0.261028438063924 0.288321164574097 0.316014782566229 0.227042273878724 0.284638822160534 0.994806544032707 0.994266637702409 0.993719399600071 0.995479680594356 0.994339447814924
"Same race couple" 0.656125856659702 0.6546 0.642976 0.646544 0.6364 0.63304 0.597556 0.6414200957267 0.6677799042733 0.627424513465034 0.658527486534966 0.631031156799743 0.662056843200257 0.610130248943009 0.662669751056991 0.601537590097587 0.664542409902413 0.58194711819213 0.61316488180787 0.270345525514406 0.270006672974633 0.74115758151044 0.81910891266444 0.241321854820575 0.994622166951743 0.994628871352034 0.985393364739071 0.983881871796058 0.995196745509246
