"Orig. Data Q" "CC Data Q" "Rej. Sampler Q" "Weighted Sampler Q" "Hybrid Sampler Q" "Weighted Hybrid Sampler Q" "No Zeros Q" "Orig. Data L" "Orig. Data U" "CC Data L" "CC Data U" "Rej. Sampler L" "Rej. Sampler U" "Weighted Sampler L" "Weighted Sampler U" "Hybrid Sampler L" "Hybrid Sampler U" "Weighted Hybrid Sampler L" "Weighted Hybrid Sampler U" "No Zeros L" "No Zeros U"
"$n_i = 2$" 0.940756602426838 0.923076923076923 0.904032833690221 0.897466095645967 0.916095645967166 0.910478229835832 0.894996431120628 0.932015370534938 0.949497834318738 0.881261830506971 0.964892015646875 0.890797002888637 0.917268664491805 0.88351676572063 0.911415425571304 0.902860674397421 0.929330617536911 0.894025500514436 0.926930959157227 0.880644031785878 0.909348830455378
"$n_i = 3$" 0.921810699588477 1 0.866518518518518 0.845415637860082 0.87924279835391 0.872460905349794 0.845909465020576 0.90671495677627 0.936906442400685 1 1 0.842716161682496 0.890320875354541 0.820708383183262 0.870122892536903 0.854155356056764 0.904330240651055 0.844110433723816 0.900811376975772 0.818739370968996 0.873079559072157
"$n_i = 4$" 0.898270600203459 1 0.821668362156663 0.7970498474059 0.852838250254323 0.83763987792472 0.795666327568667 0.87937336945856 0.917167830948357 1 1 0.792501402112597 0.85083532220073 0.765718907840867 0.828380786970934 0.821073094168296 0.884603406340351 0.790317859103628 0.884961896745813 0.762569364392862 0.828763290744473
"SP present" 0.6946 0.604651162790698 0.708768 0.708672 0.67496 0.685168 0.654688 0.681833701503887 0.707366298496113 0.531583276093855 0.67771904948754 0.695149004466508 0.722386995533492 0.694907552755756 0.722436447244244 0.639720456690701 0.710199543309299 0.649463999571184 0.720872000428816 0.640487396587994 0.668888603412006
"SP with white HH" 0.6022 0.511627906976744 0.617444 0.618648 0.581596 0.59248 0.57576 0.588633561392725 0.615766438607275 0.436925189630942 0.586330624322546 0.602916650621567 0.631971349378433 0.603601398158638 0.633694601841362 0.545475224444584 0.617716775555416 0.556115255106833 0.628844744893167 0.560906754467133 0.590613245532867
"SP with black HH" 0.037 0.0406976744186047 0.037784 0.037188 0.039316 0.038712 0.032052 0.0317678872481539 0.0422321127518461 0.0111688326415418 0.0702265161956675 0.0319717915131823 0.0435962084868177 0.0312321966853928 0.0431438033146072 0.0330069917416856 0.0456250082583144 0.0326068122829442 0.0448171877170558 0.026724157975769 0.037379842024231
"White couple" 0.5828 0.488372093023256 0.591484 0.589276 0.56168 0.570696 0.547036 0.569132313450095 0.596467686549905 0.413669375677454 0.563074810369058 0.576837965903518 0.606130034096482 0.574184214320666 0.604367785679334 0.528613728251821 0.594746271748179 0.538046691505055 0.603345308494945 0.531745189669786 0.562326810330214
"White couple, own" 0.512 0.465116279069767 0.510976 0.511432 0.482604 0.491172 0.475612 0.498144953734445 0.525855046265555 0.390575431290873 0.539657126848662 0.4952694220007 0.5266825779993 0.49591520548602 0.52694879451398 0.449741022096855 0.515466977903145 0.460074275200019 0.522269724799981 0.460019748579739 0.491204251420261
"Same race couple" 0.6546 0.558139534883721 0.654372 0.648724 0.6252 0.63304 0.597556 0.6414200957267 0.6677799042733 0.483923485372207 0.632355584395235 0.63952403546895 0.66921996453105 0.633638808023479 0.663809191976521 0.59314693471456 0.65725306528544 0.601537590097587 0.664542409902413 0.58194711819213 0.61316488180787
"White-nonwhite couple" 0.0344 0.0348837209302326 0.045796 0.051284 0.042444 0.045164 0.050624 0.0293482606020932 0.0394517393979068 0.00746260720979278 0.0623048346506723 0.0381564600285034 0.0534355399714966 0.0431101099842915 0.0594578900157085 0.0346276714443303 0.0502603285556697 0.0362442518888622 0.0540837481111378 0.0425076184337519 0.0587403815662481
"Nonwhite couple, own" 0.0564 0.0697674418604651 0.044916 0.043744 0.04492 0.044092 0.037092 0.0500056470126076 0.0627943529873924 0.0316954117724183 0.107839471948512 0.0381752739823423 0.0516567260176577 0.0368192939703617 0.0506687060296383 0.0383519879475527 0.0514880120524473 0.0376182333099389 0.0505657666900611 0.0308966161107791 0.0432873838892209
"Only mother present" 0.0162 0.00581395348837209 0.011948 0.012156 0.010608 0.010656 0.01068 0.0127007577836811 0.0196992422163189 -0.00554801226339932 0.0171759192401435 0.00846873673994216 0.0154272632600578 0.00865494933118678 0.0156570506688132 0.00749642478455022 0.0137195752154498 0.00735382585346284 0.0139581741465372 0.00763433593853131 0.0137256640614687
"Only one parent present" 0.0198 0.00581395348837209 0.016824 0.01672 0.013756 0.014164 0.013948 0.0159385267284706 0.0236614732715294 -0.00554801226339932 0.0171759192401435 0.0126907231385787 0.0209572768614213 0.0126596035557356 0.0207803964442644 0.0102999895045576 0.0172120104954424 0.0100213575589888 0.0183066424410112 0.0104089667252446 0.0174870332747554
"Children present" 0.4704 0.215116279069767 0.4657 0.463828 0.400028 0.417464 0.472584 0.456565268541723 0.484234731458277 0.15370853162089 0.276524026518645 0.451335267785158 0.480064732214842 0.449232104090336 0.478423895909664 0.36436662008437 0.43568937991563 0.375192013930746 0.459735986069254 0.45791349832328 0.48725450167672
"Siblings present" 0.0186 0.0232558139534884 0.02268 0.022336 0.020748 0.021352 0.02444 0.014855079627781 0.022344920372219 0.00073209720294299 0.0457795307040338 0.0176616162303136 0.0276983837696864 0.0170030784133985 0.0276689215866015 0.0160125502393722 0.0254834497606278 0.0166052999785276 0.0260987000214724 0.019231417120708 0.029648582879292
"Grandchild present" 0.0338 0.0232558139534884 0.033172 0.032992 0.024 0.025756 0.029036 0.0287909547431801 0.0388090452568199 0.00073209720294299 0.0457795307040338 0.0274759445102248 0.0388680554897752 0.0269400069499648 0.0390439930500352 0.0169671575261894 0.0310328424738106 0.0166407390957058 0.0348712609042942 0.0238174204827394 0.0342545795172606
"Three generations present" 0.024 0.00581395348837209 0.021656 0.021176 0.01396 0.015784 0.018688 0.0197577757858421 0.0282422242141579 -0.00554801226339932 0.0171759192401435 0.0168160114119981 0.0264959885880019 0.0165931053960402 0.0257588946039598 0.00859138255770081 0.0193286174422992 0.0092338110575247 0.0223341889424753 0.0142835452186041 0.0230924547813959
"Same age couple" 0.091 0.104651162790698 0.060624 0.05914 0.055612 0.059224 0.055024 0.0830280286981325 0.0989719713018675 0.0589052778165544 0.150397047764841 0.053400650336413 0.067847349663587 0.0521626294891569 0.0661173705108431 0.0476915275978528 0.0635324724021472 0.0519007419395421 0.0665472580604579 0.0480681647580685 0.0619798352419315
"White HH, older than SP" 0.3224 0.25 0.323044 0.32696 0.315884 0.32066 0.30216 0.309444705074748 0.335355294925252 0.18528804750423 0.31471195249577 0.30668898494284 0.33939901505716 0.3110004801078 0.3429195198922 0.289786451382836 0.341981548617164 0.296499457782495 0.344820542217505 0.287583140048644 0.316736859951356
"Nonhisp HH" 0.899 0.941860465116279 0.899716 0.899088 0.899824 0.900648 0.900696 0.890647747376184 0.907352252623816 0.906889072420928 0.97683185781163 0.890442408728756 0.908989591271244 0.889875526751278 0.908300473248722 0.890726440171838 0.908921559828162 0.891560449686026 0.909735550313974 0.891760974561535 0.909631025438465
"White, Hisp HH" 0.071 0.0348837209302326 0.070416 0.070404 0.070408 0.069168 0.068584 0.0638813093569932 0.0781186906430068 0.00746260720979278 0.0623048346506723 0.0622682655786809 0.0785637344213191 0.0623353754342587 0.0784726245657413 0.0623248860898853 0.0784911139101147 0.0607918501798262 0.0775441498201738 0.0608786411758015 0.0762893588241985
