"Orig-Data Q" "CC-Data Q" "Model Q" "No Struc. Q" "Orig-Data L" "Orig-Data U" "CC-Data L" "CC-Data U" "Model L" "Model U" "No Struc. L" "No Struc. U"
0.947048611111111 0.94391244870041 0.926475694444444 0.928993055555556 0.934117177777936 0.959980044444287 0.927232738556033 0.960592158844788 0.909106797804815 0.943844591084074 0.91124123781283 0.946744873298281
0.908466819221968 0.900662251655629 0.883981693363844 0.887643020594966 0.881430274702249 0.935503363741687 0.866927093078544 0.934397410232715 0.848559689202028 0.919403697525661 0.855271725442318 0.920014315747614
0.907542579075426 0.902621722846442 0.851338199513382 0.846228710462287 0.879537837305539 0.935547320845312 0.867060523944619 0.938182921748264 0.81417298925939 0.888503409767374 0.807260049648028 0.885197371276546
0.684 0.666923076923077 0.69395 0.64395 0.663624668403433 0.704375331596567 0.641302638367191 0.692543515478962 0.6721737635515 0.7157262364485 0.620622028262257 0.667277971737743
0.593 0.583846153846154 0.60515 0.56235 0.57146932504735 0.61453067495265 0.55705122654569 0.610641081146618 0.582163411137292 0.628136588862708 0.538986768044225 0.585713231955775
0.0375 0.0338461538461538 0.0377 0.0339 0.029173756720182 0.045826243279818 0.0240161379415868 0.0436761697507209 0.0292230947647963 0.0461769052352036 0.0256314644412815 0.0421685355587185
0.5715 0.562307692307692 0.58115 0.5401 0.5498121438667 0.5931878561333 0.535339745416992 0.589275639198393 0.558485747289098 0.603814252710902 0.516623697685906 0.563576302314094
0.5065 0.496153846153846 0.5146 0.47725 0.484588788217691 0.528411211782309 0.468974840131669 0.523332852176023 0.492204376128888 0.536995623871111 0.454334873843196 0.500165126156804
0.6445 0.626153846153846 0.64505 0.59955 0.623521986692817 0.665478013307183 0.599853382811765 0.652454309495927 0.622863763342301 0.667236236657699 0.575844092070729 0.623255907929271
0.033 0.0346153846153846 0.03895 0.0357 0.025171053952569 0.040828946047431 0.024678249788603 0.0445525194421662 0.0290716619922159 0.0488283380077841 0.0264083127161253 0.0449916872838747
0.0545 0.0476923076923077 0.0498 0.04675 0.0445513967647297 0.0644486032352703 0.0361074893100053 0.0592771260746101 0.0396127647399111 0.0599872352600889 0.0368997673012209 0.0566002326987791
0.017 0.0169230769230769 0.01375 0.01355 0.0113345512819981 0.0226654487180019 0.00991159481913687 0.023934559027017 0.00834208055494739 0.0191579194450526 0.00810301295898702 0.018996987041013
0.0185 0.0184615384615385 0.01695 0.01535 0.0125943988916682 0.0244056011083318 0.0111440167344652 0.0257790601886117 0.0106038750227289 0.0232961249772711 0.0097214184532235 0.0209785815467765
0.461 0.480769230769231 0.4555 0.47625 0.439153697723559 0.482846302276441 0.453609531448849 0.507928930089613 0.433254446597779 0.477745553402221 0.453582993084769 0.498917006915231
0.0195 0.02 0.01795 0.0164 0.0134399780410065 0.0255600219589935 0.0123896531522688 0.0276103468477312 0.011460925549393 0.024439074450607 0.0106271460960894 0.0221728539039106
0.0215 0.0223076923076923 0.0251 0.0256 0.0151432850345065 0.0278567149654935 0.014279739020076 0.0303356455953086 0.0169521424391591 0.0332478575608409 0.0175111707492224 0.0336888292507776
0.0395 0.0430769230769231 0.03975 0.03675 0.0309634905467038 0.0480365094532962 0.0320402731774488 0.0541135729763974 0.030351881602004 0.049148118397996 0.0281734159255312 0.0453265840744688
0.0275 0.03 0.02615 0.02455 0.0203328871107001 0.0346671128892999 0.0207269434264059 0.0392730565735941 0.0186197114987989 0.0336802885012011 0.0174661224732056 0.0316338775267944
0.0825 0.08 0.06705 0.06485 0.0704423380456882 0.0945576619543118 0.0652526046836141 0.0947473953163859 0.0557412934913198 0.0783587065086802 0.0539262953227094 0.0757737046772906
0.329 0.326153846153846 0.33875 0.31525 0.308408295264869 0.349591704735131 0.300669819893168 0.351637872414524 0.317107105083844 0.360392894916156 0.292747849821273 0.337752150178727
0.9055 0.904615384615385 0.9055 0.9055 0.892679846511798 0.918320153488202 0.888647493371317 0.920583275859453 0.892679846511798 0.918320153488202 0.892679846511798 0.918320153488202
0.066 0.0707692307692308 0.066 0.066 0.0551187572505971 0.076881242749403 0.0568293055698691 0.0847091559685924 0.0551187572505971 0.076881242749403 0.0551187572505971 0.076881242749403
