"Gender" "Race" "Hisp" "Age" "Relate"
1 1 1 55 3
1 1 1 37 8
1 1 1 52 2
2 1 1 22 3
2 1 1 75 12
1 1 1 60 2
2 1 1 63 2
2 1 1 6 8
2 1 1 52 12
1 1 1 86 2
1 1 1 59 2
2 2 1 14 3
2 1 1 66 2
2 1 1 50 2
1 2 1 34 6
2 1 1 24 2
2 1 1 68 2
1 1 2 25 3
2 1 1 65 2
2 1 1 61 2
2 1 1 53 2
2 1 1 68 2
2 1 1 57 2
1 1 1 40 2
1 1 1 57 3
2 1 1 57 2
2 1 1 66 2
2 1 1 84 2
1 1 1 70 2
2 1 1 69 2
1 1 5 10 3
1 1 1 22 3
1 1 1 1 3
1 1 1 32 12
2 1 1 8 3
1 1 1 52 3
2 1 1 63 2
2 1 1 78 2
2 1 5 59 2
2 1 1 65 2
1 2 1 65 2
2 1 2 48 2
1 1 1 80 2
2 2 1 71 6
2 1 1 43 12
2 1 1 67 2
2 2 1 83 2
1 7 4 31 2
2 1 1 52 2
1 1 1 40 12
2 6 1 68 2
2 1 1 59 2
2 1 1 70 2
2 1 1 38 3
2 1 1 25 12
1 1 1 66 2
2 1 1 67 2
2 1 1 51 2
1 1 1 76 2
1 2 1 39 3
1 2 1 50 12
2 1 1 70 2
2 1 1 62 2
1 1 1 65 2
2 2 1 25 12
1 1 3 66 12
2 1 1 52 2
2 1 1 19 12
1 1 1 8 3
1 1 1 6 3
1 1 1 61 2
1 2 1 59 2
2 2 1 32 3
1 2 1 37 2
2 1 1 57 2
2 1 1 63 2
2 6 1 61 2
2 1 1 29 12
2 2 1 63 2
2 2 1 42 3
1 1 1 74 2
2 1 1 74 2
2 8 5 19 3
2 1 1 72 2
2 1 1 57 2
2 1 1 62 2
2 1 1 6 3
1 1 1 56 13
1 1 1 68 2
1 1 1 46 2
2 2 1 11 3
2 1 1 72 2
2 1 1 65 2
1 1 1 58 12
2 1 1 22 8
2 1 1 48 2
2 1 1 24 2
1 1 1 7 3
1 1 5 80 2
2 1 1 67 2
2 1 1 67 7
1 1 1 69 2
2 1 1 70 2
2 1 1 58 2
1 2 1 18 8
1 2 1 17 8
2 3 1 56 12
1 1 1 30 3
2 4 1 26 12
1 1 1 53 3
1 1 1 4 3
2 1 1 24 12
2 1 1 65 2
2 1 1 28 3
2 1 1 28 3
2 1 1 47 12
1 1 1 49 2
2 1 3 47 3
2 6 1 36 2
2 1 1 64 2
1 1 1 6 3
2 1 1 20 12
2 1 1 54 13
1 1 1 61 2
2 1 1 66 2
1 1 1 59 2
2 1 1 42 11
2 1 1 69 2
1 1 2 62 6
2 1 1 48 2
2 1 1 22 3
1 1 1 20 3
1 2 1 82 2
2 2 1 56 12
1 7 2 41 2
2 7 5 2 3
1 1 1 60 3
2 7 2 33 2
2 1 1 33 12
2 1 1 33 12
1 1 1 60 2
2 9 5 51 13
2 1 1 63 2
2 1 1 65 2
2 1 1 58 2
2 1 1 70 2
1 2 1 59 3
2 4 1 35 2
2 1 1 68 2
2 1 1 66 12
1 2 1 28 12
2 8 1 63 2
2 1 1 58 2
1 6 1 38 2
1 1 1 58 2
1 1 1 53 6
2 1 1 55 2
1 1 1 8 3
1 1 1 40 12
2 1 1 53 2
2 1 1 54 2
2 1 1 29 12
2 2 1 17 3
2 1 1 67 2
2 1 1 70 2
2 1 1 61 2
2 3 1 54 2
2 1 1 49 2
2 1 1 57 2
1 1 1 61 2
1 1 1 21 12
1 1 1 47 12
2 8 5 27 12
1 2 1 48 2
2 1 1 49 12
1 1 1 29 12
2 1 1 60 2
2 5 1 69 2
1 5 1 36 3
2 7 2 30 3
1 1 1 62 2
1 1 1 24 3
1 7 5 32 12
1 1 1 32 3
2 1 1 37 3
2 1 1 71 2
1 1 1 60 2
1 1 1 50 12
2 1 2 23 12
