"V1" "V2" "V3"
860 2182 5497
917 2338 6140
923 2217 5452
834 2368 6891
967 2153 6679
875 2095 6321
944 2189 5119
834 1878 5270
873 1780 5448
816 1860 5164
920 2217 6633
840 2042 5754
874 2004 5801
874 2109 5529
865 2223 4981
922 2181 5807
903 2137 5481
849 2061 4609
965 2186 4595
944 2158 5184
872 2067 4926
977 2133 4969
919 2222 4399
904 2014 5242
831 1862 5417
796 2117 3880
931 1883 5335
889 1959 4347
868 1893 4496
821 2177 4813
971 2005 4292
943 2033 4952
884 2060 5421
992 2299 5118
966 1909 5140
914 1924 4805
945 1904 5729
955 2044 5151
1042 2006 5786
888 2121 4667
942 1992 5938
915 1963 5493
937 2035 5419
878 2051 6334
928 2037 4662
952 2103 5139
893 2053 5699
928 1880 5459
871 1920 5435
871 1797 6025
886 1981 5796
872 2077 4712
943 2048 4666
941 1951 4466
884 1827 5928
848 2065 5111
1054 1795 4221
1087 2144 5294
954 1728 4956
996 2117 5288
901 2118 4816
982 1836 5367
909 2209 4810
965 2110 4138
876 1833 5522
819 1826 4509
878 2098 4986
851 1924 4845
846 2038 4824
865 1841 4770
831 1997 4410
873 2018 4309
841 1793 4459
897 1940 4037
909 1832 4112
859 1663 4144
846 1988 4779
829 1827 4224
877 1997 4412
849 1927 4201
830 1888 4160
886 1875 4372
863 1862 4562
923 1970 4645
892 1863 4527
931 1741 4082
939 2070 4822
868 1720 4755
969 2279 4663
962 2146 5156
844 1914 5115
859 2207 4657
942 2189 4418
861 2235 5489
880 2266 4979
907 2249 6266
926 2448 5244
913 2233 4777
942 2320 4628
937 2295 6360
881 2273 5748
941 2566 5535
967 2147 5895
836 2286 5390
809 2097 5151
955 2213 4713
895 2165 5238
991 2421 5289
920 2332 5397
948 2219 6027
876 2091 5948
945 2421 5038
918 2348 4982
894 2241 5970
950 2134 4663
943 2633 5705
890 2226 4671
1000 2361 5651
951 2294 5365
988 2056 6084
1077 1929 5278
1016 2007 4887
993 2006 5241
1058 2151 6374
894 1776 5100
965 1948 5030
956 2069 5021
996 2163 5632
872 2132 6083
929 2263 4870
1028 2309 4797
1089 1840 4924
988 1978 4195
883 1960 4562
874 2070 4550
861 1992 4926
895 2197 4781
860 1937 5129
926 2227 4284
819 1883 4248
948 1923 4618
901 1995 5249
896 1915 4754
871 1796 5322
873 2041 4047
802 1867 4180
873 1867 4179
835 1887 4074
812 1680 3563
904 1714 4511
888 1680 4537
919 1806 3671
905 1867 3511
900 1860 3816
939 1950 4005
807 1796 3825
843 1685 4009
959 1880 4169
954 1792 4491
905 1790 3551
891 1781 4402
913 1794 4139
920 1698 4043
878 1765 3724
865 1912 4432
948 1736 4541
873 1816 4319
931 1998 4400
904 2030 4279
824 1855 4810
879 1816 4034
977 2080 4714
952 1867 4312
934 1839 4733
903 1881 4795
927 2085 5063
952 1857 5016
997 2013 4752
1046 2181 4485
922 2099 5366
971 2248 4360
1006 1997 4853
995 2172 4471
1052 2025 4424
966 1942 4172
912 1992 3984
917 1922 4659
950 1866 3745
981 1840 3365
945 1758 4002
952 1920 4097
938 1849 4904
853 1912 4070
838 1716 4238
833 2009 3799
936 1806 4530
892 1648 3695
926 1854 3836
790 1694 3941
962 2030 4496
897 1895 4269
800 1896 3988
905 2004 3879
975 1919 4295
936 1715 4224
817 1997 3805
778 1965 4462
819 1827 4719
924 2256 4102
869 1994 4184
883 1749 4374
873 1878 3554
856 1687 3861
834 1906 4751
876 1847 4514
890 1787 4420
912 2192 3837
927 1949 4568
883 1885 4654
911 2068 3815
872 1984 4001
895 2058 3999
