"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage" "householdsize"
1 2 2 1 1 62 1 1 1 1 1 68 1
2 2 1 1 1 36 1 1 2 1 1 51 2
2 3 1 1 2 26 2 1 2 1 1 51 2
3 2 1 1 1 26 1 1 2 1 1 48 1
4 2 1 1 1 68 1 1 2 1 1 30 1
5 2 2 1 1 17 2 1 2 1 1 39 3
5 3 2 1 1 16 2 1 2 1 1 39 3
5 4 1 1 1 26 11 1 2 1 1 39 3
6 2 2 1 1 39 1 1 1 1 1 58 3
6 3 1 1 1 21 2 1 1 1 1 58 3
6 4 1 1 1 20 2 1 1 1 1 58 3
7 2 2 1 1 43 7 1 2 1 1 77 3
7 3 2 1 1 33 2 1 2 1 1 77 3
7 4 1 1 1 30 2 1 2 1 1 77 3
8 2 2 8 5 22 2 2 2 7 5 56 3
8 3 2 8 5 17 2 2 2 7 5 56 3
8 4 2 7 3 76 6 2 2 7 5 56 3
9 2 2 1 1 54 1 1 1 1 1 56 2
9 3 1 1 1 22 2 1 1 1 1 56 2
10 2 2 1 1 77 1 1 1 1 1 76 2
10 3 1 1 1 46 2 1 1 1 1 76 2
11 2 2 1 1 32 1 1 1 1 1 48 3
11 3 1 1 1 25 2 1 1 1 1 48 3
11 4 1 1 1 3 2 1 1 1 1 48 3
12 2 2 1 1 64 1 1 1 1 1 77 1
13 2 2 1 1 29 11 2 1 1 1 29 1
14 2 1 1 1 55 1 1 2 1 1 67 1
15 2 2 1 1 42 1 1 1 1 1 49 2
15 3 1 1 1 7 2 1 1 1 1 49 2
16 2 1 1 4 50 6 2 2 1 1 28 1
17 2 1 2 1 16 2 2 1 3 2 58 2
17 3 2 2 1 53 11 2 1 3 2 58 2
18 2 2 1 1 41 11 1 1 1 1 47 3
18 3 1 1 1 22 2 1 1 1 1 47 3
18 4 1 1 1 22 2 1 1 1 1 47 3
19 2 2 9 1 54 1 1 1 2 1 57 2
19 3 1 2 1 25 2 1 1 2 1 57 2
20 2 1 1 1 20 2 1 1 1 1 42 2
20 3 2 1 1 68 6 1 1 1 1 42 2
21 2 2 1 1 59 1 1 1 1 1 62 1
22 2 1 1 1 63 1 1 2 1 1 53 2
22 3 2 1 1 59 6 1 2 1 1 53 2
23 2 1 1 1 55 2 1 1 1 1 87 2
23 3 2 1 1 37 7 1 1 1 1 87 2
24 2 1 1 2 63 1 2 2 1 1 52 1
25 2 2 1 1 70 1 1 1 1 1 62 1
26 2 1 1 1 52 1 1 2 1 1 39 1
27 2 2 1 1 39 1 2 1 1 1 32 1
28 2 2 1 1 71 1 1 1 1 1 66 3
28 3 2 1 1 37 2 1 1 1 1 66 3
28 4 1 1 1 8 7 1 1 1 1 66 3
29 2 2 1 1 50 1 1 1 1 1 47 3
29 3 1 1 1 13 2 1 1 1 1 47 3
29 4 1 1 1 17 2 1 1 1 1 47 3
30 2 1 1 1 42 2 1 2 1 1 78 1
31 2 1 1 1 7 2 1 2 1 1 41 2
31 3 1 1 1 5 2 1 2 1 1 41 2
32 2 2 1 1 15 2 2 2 1 1 49 1
33 2 2 1 1 50 1 1 1 1 1 37 2
33 3 1 1 1 1 2 1 1 1 1 37 2
34 2 2 7 2 18 2 2 1 7 2 52 1
35 2 1 1 1 63 1 1 2 1 1 64 1
36 2 2 1 1 81 6 2 1 1 1 55 2
36 3 2 1 1 57 10 2 1 1 1 55 2
37 2 1 7 5 54 11 1 2 1 1 59 1
38 2 2 1 1 52 1 1 1 1 1 54 2
38 3 2 1 1 24 2 1 1 1 1 54 2
39 2 1 1 1 5 2 2 2 1 1 42 2
39 3 2 1 1 5 2 2 2 1 1 42 2
40 2 1 1 3 41 1 1 2 1 5 39 2
40 3 1 1 3 15 2 1 2 1 5 39 2
41 2 2 1 1 55 1 2 1 2 1 44 1
42 2 2 1 1 60 1 1 1 1 1 56 1
43 2 2 1 1 50 1 1 1 1 1 47 2
43 3 1 1 1 17 2 1 1 1 1 47 2
44 2 2 7 2 36 2 1 2 1 2 60 2
44 3 2 7 2 51 11 1 2 1 2 60 2
45 2 2 1 1 20 1 1 1 1 1 29 2
45 3 1 1 1 13 2 1 1 1 1 29 2
46 2 2 1 1 21 2 1 2 1 1 54 1
47 2 1 1 1 40 2 1 2 1 1 65 1
48 2 2 1 1 14 2 1 2 1 1 53 1
49 2 1 8 2 17 2 1 2 7 4 49 1
50 2 2 1 1 61 1 1 1 1 1 37 3
50 3 1 1 1 6 2 1 1 1 1 37 3
50 4 2 1 1 3 4 1 1 1 1 37 3
51 2 2 1 1 80 1 1 1 1 1 67 1
52 2 1 9 1 36 1 1 2 8 1 35 3
52 3 2 6 1 11 2 1 2 8 1 35 3
52 4 1 6 1 5 2 1 2 8 1 35 3
53 2 2 1 1 23 11 2 2 1 1 21 2
53 3 1 1 1 23 11 2 2 1 1 21 2
54 2 2 1 2 14 2 2 1 1 2 36 3
54 3 2 1 2 13 2 2 1 1 2 36 3
54 4 2 7 2 7 2 2 1 1 2 36 3
55 2 1 1 1 63 1 1 2 1 1 77 1
56 2 2 1 1 82 1 1 1 1 1 84 1
57 2 2 1 1 72 1 1 1 1 1 75 1
58 2 1 6 1 3 2 2 2 1 1 28 2
58 3 2 1 1 27 11 2 2 1 1 28 2
59 2 1 2 1 15 2 2 2 2 1 51 1
60 2 2 1 1 22 11 1 2 1 1 25 1
61 2 1 1 1 81 1 1 2 1 1 70 1
62 2 2 1 1 80 1 1 1 1 1 82 1
63 2 1 2 1 59 2 1 2 2 1 75 2
63 3 1 2 1 26 7 1 2 2 1 75 2
64 2 2 1 1 41 1 1 1 1 1 47 3
64 3 1 1 1 17 2 1 1 1 1 47 3
64 4 2 1 1 15 2 1 1 1 1 47 3
65 2 1 1 1 33 1 1 2 1 1 48 2
65 3 1 1 1 28 2 1 2 1 1 48 2
66 2 1 1 1 75 1 1 2 1 1 77 1
67 2 1 1 1 60 1 1 2 1 1 58 1
68 2 2 2 1 37 1 2 1 2 1 41 1
69 2 1 2 1 41 1 1 2 2 1 43 2
69 3 2 2 1 16 2 1 2 2 1 43 2
70 2 1 1 1 47 1 1 2 1 1 44 2
70 3 1 1 1 18 2 1 2 1 1 44 2
71 2 1 2 1 19 2 1 2 2 1 44 3
71 3 1 2 1 14 2 1 2 2 1 44 3
71 4 1 2 1 39 11 1 2 2 1 44 3
72 2 1 1 1 66 1 1 2 1 1 66 2
72 3 2 1 1 56 2 1 2 1 1 66 2
73 2 1 1 1 38 2 1 1 1 1 65 2
73 3 1 1 1 67 11 1 1 1 1 65 2
74 2 1 1 1 33 1 2 2 1 1 25 3
74 3 1 1 1 10 4 2 2 1 1 25 3
74 4 1 1 1 7 11 2 2 1 1 25 3
75 2 2 1 1 66 1 1 1 1 1 70 1
76 2 2 1 1 29 1 1 1 1 1 29 3
76 3 1 1 1 4 2 1 1 1 1 29 3
76 4 2 1 1 22 2 1 1 1 1 29 3
77 2 2 2 3 16 10 2 2 1 3 45 1
78 2 1 1 1 29 11 2 1 6 1 29 1
79 2 2 6 1 68 1 2 1 6 1 31 2
79 3 1 6 1 3 2 2 1 6 1 31 2
80 2 2 1 1 59 1 1 1 1 1 93 1
81 2 2 7 2 11 2 2 1 1 2 35 2
81 3 2 1 5 7 2 2 1 1 2 35 2
82 2 2 2 1 5 2 2 2 2 1 34 2
82 3 1 2 1 1 2 2 2 2 1 34 2
83 2 1 6 1 73 6 1 1 6 1 27 3
83 3 2 6 1 61 6 1 1 6 1 27 3
83 4 2 6 1 27 1 1 1 6 1 27 3
84 2 2 1 1 50 1 1 1 1 1 51 3
84 3 1 1 1 8 2 1 1 1 1 51 3
84 4 1 1 1 14 2 1 1 1 1 51 3
85 2 2 1 1 66 1 1 1 1 1 76 1
86 2 2 2 1 76 1 2 1 2 1 84 2
86 3 1 2 1 73 2 2 1 2 1 84 2
87 2 1 8 1 15 2 1 2 1 1 41 2
87 3 2 8 1 8 2 1 2 1 1 41 2
88 2 1 1 1 42 1 2 2 1 1 37 1
89 2 2 1 1 91 1 1 1 1 1 59 1
90 2 1 3 1 21 1 1 2 1 1 25 1
91 2 1 1 1 59 1 1 2 1 1 53 1
92 2 2 1 1 70 1 1 1 1 1 69 1
93 2 2 1 1 34 1 2 1 1 1 36 3
93 3 2 8 1 18 2 2 1 1 1 36 3
93 4 1 1 1 7 2 2 1 1 1 36 3
94 2 1 1 1 48 1 1 2 1 1 46 2
94 3 1 1 1 18 2 1 2 1 1 46 2
95 2 2 1 1 69 1 1 1 1 1 68 1
96 2 1 1 1 63 1 2 2 1 1 55 1
97 2 2 1 1 61 1 1 1 1 1 62 2
97 3 1 1 1 26 2 1 1 1 1 62 2
98 2 2 1 1 63 1 1 1 1 1 65 2
98 3 1 1 1 25 2 1 1 1 1 65 2
99 2 2 1 1 69 1 1 1 1 1 72 1
100 2 1 7 1 32 11 1 1 1 1 43 1
101 2 2 1 1 85 1 1 1 1 1 80 1
102 2 2 1 1 95 1 1 1 1 1 54 1
103 2 2 1 1 11 2 2 1 1 1 28 2
103 3 2 1 1 2 2 2 1 1 1 28 2
104 2 2 1 1 61 1 1 1 1 1 60 2
104 3 2 1 1 6 7 1 1 1 1 60 2
105 2 2 1 1 54 1 2 1 1 1 49 2
105 3 1 1 1 7 2 2 1 1 1 49 2
106 2 1 1 2 17 2 2 2 1 2 35 2
106 3 2 1 2 12 2 2 2 1 2 35 2
107 2 2 1 1 52 11 1 1 1 1 52 1
108 2 2 1 1 55 1 1 1 1 1 38 2
108 3 2 1 1 13 2 1 1 1 1 38 2
109 2 1 1 1 33 1 1 2 1 1 50 1
110 2 1 2 1 69 1 1 2 2 1 69 1
111 2 1 1 1 87 1 1 2 1 1 53 2
111 3 2 1 1 34 2 1 2 1 1 53 2
112 2 2 1 1 29 11 2 2 2 1 27 1
113 2 2 1 1 16 2 1 1 1 1 45 3
113 3 1 1 1 23 2 1 1 1 1 45 3
113 4 1 1 1 56 11 1 1 1 1 45 3
114 2 2 8 1 16 2 2 2 1 1 34 2
114 3 1 2 1 39 1 2 2 1 1 34 2
115 2 2 1 1 46 1 1 1 1 1 53 2
115 3 2 1 1 17 2 1 1 1 1 53 2
116 2 2 1 1 84 8 1 1 1 1 40 2
116 3 2 1 1 38 10 1 1 1 1 40 2
117 2 2 1 1 78 1 1 1 1 1 77 1
118 2 2 1 1 45 1 1 1 1 1 80 1
119 2 2 1 1 77 1 1 1 2 1 67 1
120 2 1 1 1 52 1 1 2 1 1 82 1
121 2 1 1 1 49 1 2 2 1 1 30 2
121 3 1 1 1 3 2 2 2 1 1 30 2
122 2 1 2 1 50 1 2 2 2 1 63 1
123 2 2 1 1 69 1 1 1 1 1 62 3
123 3 2 1 1 30 7 1 1 1 1 62 3
123 4 1 1 1 6 7 1 1 1 1 62 3
124 2 1 1 2 33 1 1 2 1 2 53 1
125 2 1 1 1 33 11 2 2 1 1 26 1
126 2 2 2 1 28 2 1 2 2 1 54 1
127 2 2 1 1 58 1 1 1 1 1 56 2
127 3 1 1 1 13 2 1 1 1 1 56 2
128 2 2 1 1 70 1 1 1 1 1 72 1
129 2 2 1 1 57 1 1 1 1 1 66 1
130 2 1 2 1 66 1 1 2 1 1 52 2
130 3 1 2 1 30 2 1 2 1 1 52 2
131 2 1 1 1 59 1 1 2 1 1 59 1
132 2 2 2 1 59 1 1 1 2 1 62 1
133 2 1 1 1 86 1 2 2 1 1 86 1
134 2 1 2 1 30 10 1 1 2 1 33 1
135 2 2 1 1 21 11 2 1 1 1 20 2
135 3 2 1 1 20 1 2 1 1 1 20 2
136 2 2 1 2 28 1 1 1 1 2 76 1
137 2 2 1 1 42 1 1 1 1 1 44 3
137 3 2 1 1 8 2 1 1 1 1 44 3
137 4 2 1 1 5 2 1 1 1 1 44 3
138 2 1 1 1 61 1 1 2 1 2 52 1
139 2 2 1 1 17 2 1 2 1 1 43 1
140 2 2 1 1 54 1 2 1 1 1 43 3
140 3 2 1 1 18 2 2 1 1 1 43 3
140 4 1 1 1 16 2 2 1 1 1 43 3
141 2 2 2 1 16 2 2 2 2 1 37 2
141 3 2 2 1 11 2 2 2 2 1 37 2
142 2 1 1 1 21 2 2 2 1 1 50 2
142 3 1 1 1 18 2 2 2 1 1 50 2
143 2 2 1 1 66 1 2 1 1 1 73 1
144 2 2 1 2 13 3 2 2 1 2 70 2
144 3 1 1 2 88 1 2 2 1 2 70 2
145 2 2 1 1 62 1 1 1 1 1 63 1
146 2 1 1 1 27 1 2 2 2 1 31 1
147 2 2 1 1 44 1 1 1 1 1 50 1
148 2 2 1 1 58 1 1 1 1 1 74 1
149 2 2 1 1 18 2 2 2 1 1 41 1
150 2 2 8 1 11 2 1 1 6 1 30 2
150 3 2 6 1 59 6 1 1 6 1 30 2
151 2 1 1 2 57 1 2 2 7 2 52 2
151 3 1 1 2 22 2 2 2 7 2 52 2
152 2 2 1 1 19 11 2 2 1 1 22 1
153 2 2 1 1 57 2 1 2 1 1 81 1
154 2 2 1 1 51 11 1 2 1 1 68 1
155 2 1 8 1 30 1 2 2 1 1 30 2
155 3 1 1 1 2 2 2 2 1 1 30 2
156 2 1 1 1 47 1 1 2 1 1 52 3
156 3 2 1 1 14 2 1 2 1 1 52 3
156 4 2 1 1 91 6 1 2 1 1 52 3
157 2 2 1 2 18 2 1 2 1 2 47 3
157 3 1 1 2 9 2 1 2 1 2 47 3
157 4 2 1 2 7 2 1 2 1 2 47 3
158 2 2 1 1 43 1 1 1 1 1 47 3
158 3 1 1 1 12 2 1 1 1 1 47 3
158 4 2 1 1 10 2 1 1 1 1 47 3
159 2 2 6 1 19 11 2 1 1 1 25 1
160 2 2 1 1 45 1 1 1 1 1 46 3
160 3 1 1 1 8 2 1 1 1 1 46 3
160 4 2 1 1 5 2 1 1 1 1 46 3
161 2 2 1 2 15 2 2 1 1 2 26 3
161 3 2 1 2 6 2 2 1 1 2 26 3
161 4 2 1 2 19 11 2 1 1 2 26 3
162 2 1 1 1 53 2 1 1 1 1 85 1
163 2 2 1 1 55 1 1 1 1 1 65 1
164 2 2 1 1 62 1 1 1 1 1 67 1
165 2 2 1 1 71 1 1 1 8 1 51 2
165 3 1 1 1 17 2 1 1 8 1 51 2
166 2 2 7 2 63 1 1 1 1 2 30 3
166 3 2 1 2 12 2 1 1 1 2 30 3
166 4 2 1 2 7 2 1 1 1 2 30 3
167 2 1 1 1 39 1 1 2 1 1 29 2
167 3 2 1 1 1 2 1 2 1 1 29 2
168 2 2 2 1 14 7 1 2 2 1 40 1
169 2 2 1 1 68 1 1 1 6 1 34 1
170 2 1 1 1 42 2 1 1 1 1 62 1
171 2 2 2 1 49 1 1 1 1 1 45 1
172 2 1 1 2 25 1 1 2 1 2 24 3
172 3 1 1 1 6 2 1 2 1 2 24 3
172 4 2 1 2 2 2 1 2 1 2 24 3
173 2 2 1 1 60 1 1 1 1 1 61 1
174 2 2 1 1 64 1 1 1 1 1 64 1
175 2 1 2 1 19 10 1 1 2 1 37 2
175 3 2 2 1 9 2 1 1 2 1 37 2
176 2 2 1 1 66 1 1 1 1 1 57 1
177 2 2 1 1 29 1 1 1 1 1 30 1
178 2 2 1 1 55 1 1 1 1 1 56 1
179 2 2 6 1 59 1 2 1 6 1 65 2
179 3 2 1 1 71 11 2 1 6 1 65 2
180 2 2 1 1 60 1 1 1 1 1 62 1
181 2 2 1 1 32 1 1 1 1 1 31 2
181 3 1 1 1 2 2 1 1 1 1 31 2
182 2 1 2 1 67 1 1 2 2 1 51 2
182 3 2 2 1 21 2 1 2 2 1 51 2
183 2 2 6 1 18 1 1 1 6 1 38 2
183 3 1 8 1 10 2 1 1 6 1 38 2
184 2 2 1 1 42 1 1 1 1 1 49 2
184 3 1 1 1 14 4 1 1 1 1 49 2
185 2 2 1 1 44 1 2 1 1 1 44 3
185 3 2 1 1 16 4 2 1 1 1 44 3
185 4 2 1 1 13 2 2 1 1 1 44 3
186 2 2 1 1 57 1 1 1 1 1 58 1
187 2 1 1 1 61 11 1 2 1 1 67 1
188 2 2 1 1 77 1 1 1 1 1 81 1
189 2 2 1 4 10 11 1 2 1 1 57 3
189 3 2 1 1 5 7 1 2 1 1 57 3
189 4 2 1 1 49 11 1 2 1 1 57 3
190 2 1 1 1 42 1 1 2 1 1 62 1
191 2 1 2 1 56 2 1 2 2 1 80 1
192 2 1 1 1 68 1 2 2 1 1 63 1
193 2 1 1 1 34 1 1 2 1 1 37 1
194 2 2 1 2 68 11 1 1 1 2 67 1
195 2 1 1 1 56 1 1 2 8 1 72 1
196 2 2 1 1 38 1 1 1 1 2 25 1
197 2 2 1 2 64 1 1 1 1 2 63 1
198 2 2 1 1 37 1 1 1 1 1 53 2
198 3 1 1 1 17 2 1 1 1 1 53 2
199 2 2 1 1 54 1 1 1 1 1 65 3
199 3 1 1 1 38 2 1 1 1 1 65 3
199 4 1 1 1 13 7 1 1 1 1 65 3
200 2 2 1 1 72 1 1 1 1 1 78 1
201 2 2 1 1 48 1 1 1 1 1 35 2
201 3 2 1 1 9 2 1 1 1 1 35 2
202 2 1 1 1 31 1 2 2 1 1 43 1
203 2 2 1 1 55 1 1 1 1 1 55 2
203 3 2 1 1 13 2 1 1 1 1 55 2
204 2 2 1 1 50 1 1 1 1 1 50 3
204 3 1 1 1 13 2 1 1 1 1 50 3
204 4 1 1 1 11 2 1 1 1 1 50 3
205 2 1 1 1 51 10 1 1 1 1 50 1
206 2 2 1 1 65 1 1 1 1 1 66 2
206 3 1 1 1 19 2 1 1 1 1 66 2
207 2 2 1 2 23 4 2 2 1 2 40 1
208 2 1 1 1 20 1 1 2 1 1 53 2
208 3 1 1 1 16 2 1 2 1 1 53 2
209 2 1 1 1 27 1 1 2 1 1 40 3
209 3 1 1 1 17 2 1 2 1 1 40 3
209 4 2 1 1 16 2 1 2 1 1 40 3
210 2 1 1 1 80 1 1 2 1 1 56 1
211 2 1 1 1 6 11 2 2 1 1 26 1
212 2 1 2 1 61 11 1 2 2 5 52 1
213 2 1 1 1 21 1 1 2 1 1 34 1
214 2 2 1 1 56 1 2 1 1 1 56 1
215 2 2 1 1 39 1 1 1 1 1 39 3
215 3 2 1 1 9 2 1 1 1 1 39 3
215 4 1 1 1 19 2 1 1 1 1 39 3
216 2 1 1 1 45 1 1 2 1 1 46 1
217 2 2 1 1 51 1 2 1 1 1 51 2
217 3 2 1 1 14 2 2 1 1 1 51 2
218 2 1 1 2 76 1 1 2 1 2 72 1
219 2 2 2 1 19 2 1 2 2 1 51 1
220 2 2 1 1 50 1 1 1 1 1 50 3
220 3 2 1 1 15 4 1 1 1 1 50 3
220 4 1 1 1 12 2 1 1 1 1 50 3
221 2 1 2 1 4 2 2 2 2 1 24 2
221 3 1 2 1 3 2 2 2 2 1 24 2
222 2 2 1 1 63 1 1 1 1 1 62 1
223 2 2 1 1 33 1 1 1 1 1 33 3
223 3 1 1 2 2 2 1 1 1 1 33 3
223 4 2 1 1 1 2 1 1 1 1 33 3
224 2 2 1 1 57 1 1 1 1 1 59 1
225 2 2 1 1 54 1 1 1 1 1 35 3
225 3 2 1 1 8 2 1 1 1 1 35 3
225 4 1 1 1 14 4 1 1 1 1 35 3
226 2 1 1 1 1 2 1 2 1 1 34 2
226 3 1 1 1 1 2 1 2 1 1 34 2
227 2 1 2 1 34 4 1 1 2 1 62 2
227 3 2 2 1 42 11 1 1 2 1 62 2
228 2 2 1 1 62 1 1 1 8 1 56 2
228 3 2 1 1 30 2 1 1 8 1 56 2
229 2 2 1 2 50 6 2 2 1 1 24 1
230 2 2 1 1 75 1 1 1 1 1 62 2
230 3 1 1 1 50 5 1 1 1 1 62 2
231 2 2 1 1 47 11 1 1 1 1 42 1
232 2 1 2 1 26 11 2 1 1 1 54 1
233 2 2 2 1 6 2 2 1 2 1 27 3
233 3 1 2 1 5 2 2 1 2 1 27 3
233 4 1 2 1 2 2 2 1 2 1 27 3
234 2 2 2 1 44 1 1 1 2 1 61 2
234 3 1 2 1 14 4 1 1 2 1 61 2
235 2 2 8 1 22 11 1 1 1 1 33 1
236 2 2 1 1 66 1 1 1 1 1 76 2
236 3 2 1 1 41 2 1 1 1 1 76 2
237 2 1 7 5 61 6 1 1 1 5 29 2
237 3 2 7 5 53 6 1 1 1 5 29 2
238 2 2 1 1 50 1 2 1 1 1 51 1
239 2 2 1 1 7 2 1 2 1 1 53 1
240 2 2 1 1 65 1 1 1 1 1 26 1
241 2 2 1 4 75 1 1 1 8 4 79 1
242 2 2 1 1 41 1 1 1 1 1 41 3
242 3 2 1 1 6 2 1 1 1 1 41 3
242 4 2 1 1 15 3 1 1 1 1 41 3
243 2 2 1 1 35 2 1 2 1 1 59 3
243 3 2 1 1 3 7 1 2 1 1 59 3
243 4 1 1 1 66 9 1 2 1 1 59 3
